LT(hr),Amp(Pa)
9.928,0.346
12.701,0.473
12.796,0.612
13.388,0.304
13.541,0.355
13.621,0.539
13.82,0.305
13.931,0.411
13.942,0.579
14.275,0.364
4.353,0.33
10.572,0.319
10.832,0.319
10.851,0.364
10.866,2.449
11.041,0.416
11.291,0.37
11.404,0.43
11.754,0.576
12.159,0.388
12.345,0.357
9.736,0.368
12.451,0.355
12.941,0.812
13.277,0.599
13.603,0.372
13.696,0.308
16.458,0.427
16.809,0.389
21.05,0.348
3.703,0.333
13.081,1.052
14.956,0.35
15.132,0.406
15.301,0.825
19.403,0.318
9.565,0.532
11.54,0.336
11.608,1.633
11.878,0.335
12.202,0.615
15.879,0.326
10.692,0.314
11.078,0.305
11.192,0.602
13.185,0.301
14.678,0.587
15.163,0.338
15.192,0.364
16.413,0.307
19.368,0.331
20.707,0.525
9.791,0.362
11.652,0.312
11.902,0.325
11.986,0.707
12.344,1.137
13.06,0.538
13.099,0.449
13.594,0.338
13.721,0.37
13.934,0.336
14.442,0.633
16.201,0.526
10.902,0.502
11.087,0.89
11.227,0.355
11.349,0.341
12.63,0.57
12.785,0.345
12.898,0.332
13.002,0.68
14.828,0.532
14.884,0.374
15.014,0.636
16.919,0.535
10.013,0.348
11.408,0.393
11.501,0.309
11.925,0.732
12.021,0.305
12.139,0.307
12.466,0.315
12.673,0.36
12.705,0.487
12.78,0.54
13.049,0.526
13.248,0.505
13.278,1.024
13.384,0.347
13.801,0.307
13.862,0.383
15.941,0.342
12.709,0.37
12.941,0.408
13.486,2.619
10.789,0.44
11.31,0.31
12.443,0.631
12.776,0.503
13.062,0.516
13.144,0.302
14.198,0.302
14.612,0.343
14.624,0.318
14.787,0.586
15.029,0.307
15.066,0.323
15.141,0.314
15.216,0.537
15.299,0.395
10.34,0.357
10.432,1.891
12.284,0.663
12.337,1.409
13.629,0.32
13.751,0.53
13.819,0.33
15.488,0.515
15.568,0.303
16.448,0.322
4.855,0.307
12.31,0.45
12.738,0.317
12.823,0.469
13.035,0.306
13.116,0.387
14.545,0.307
14.579,0.322
14.648,0.36
14.959,0.411
15.036,0.317
15.305,0.64
12.044,0.317
12.257,0.663
12.35,0.34
13.62,0.305
13.717,0.549
13.777,0.303
13.921,0.51
15.755,0.625
15.915,0.32
6.527,0.621
11.182,0.405
11.451,0.331
12.109,0.532
12.505,0.352
12.562,0.515
12.586,0.402
12.646,0.511
12.795,0.353
12.911,0.703
13.128,1.57
14.466,0.368
15.001,0.312
16.678,0.367
16.731,0.352
10.443,0.357
12.278,0.42
